habit 	 Arbustes souvent épineux, rarement arbres, souvent lianes inermes.
flowers 	 Fleurs jaunes, jaunâtres, orangées ou plus rarement rougeâtres, à odeur parfois désagréable.
calyx 	 Calice à sépales inégaux, les petits subdeltoïdes, larges de 0,9-1 mm, les plus grands semi-circulaires, larges de 1,3-2,5 mm, ± érigés ou étalés.
petals 	 Pétales rotacés au-dessus de la base, subonguiculés, de 2-5 x 1,3-5 mm, obovés ou oblongs, à base parfois remarquablement charnue avec un callus entier ou marqué d'un faible sillon longitudinal; parfois 2 petits callus réduits à nuls.
disk 	 Disque réduit, en cupule pentagonale, comprimé par les callus des pétales, de 0,9-1,5 mm de diamètre et 0,25-0,7 mm de hauteur, munis ou non d'un petit rebord horizontal.
stamens 	 Étamines 3 de 0,6-1,2 mm, à anthère ellipsoïde de 0,4 mm, transversalement déhiscente, arquées exsertes.
style 	 Style subpyramidal dépassant ± le disque et faiblement trilobulé à l'extrémité; 3 loges enfoncées au niveau des insertions pétalaires, contenant chacune soit 2 ovules, juxtaposés ou superposés, soit 3-4 ovules. 
fruits 	 Fruit ovoïde ou ellipsoïde, parfois un peu atténué aux extrémités, de 4-7 x 2,8-3,5 cm, contenant 2-6 graines de 10-22 mm, à cotylédons soudés jaunâtres.
exocarp 	 Exocarpe lisse ou presque, d'environ 1 mm d'épaisseur.
habit 	 Liane élevée dépassant 5 m, dépourvue de caoutchouc, glabre, à bois dépassant 4-5 cm de diamètre.
internodes 	 Entre-noeuds glabres, vert olive à sec.
leaves 	 Feuilles opposées ou alternes.
petiole 	 Pétiole de 6-12 (18) mm, à bords du canal droits.
lamina 	 Limbe olivacé concolore à sec, grand, elliptique, de 8-25 x 5-12 cm, aigu ou arrondi à la base, à acumen de 5-15 mm, parfois peu distinct.
secondary veins 	 Nervures secondaires 6-9 paires arquées ascendantes; nervures intersecondaires un peu transversalement étirées. 
inflorescences 	 Inflorescences en glomérules pauci- à multiflores sessiles, généralement axillaires; glomérules multibractéolés de 1-5 mm de diamètre, les plus gros sont sphériques. 
pedicels 	 Pédicelle long et grêle de 9-40 mm.
buds 	 Bouton globuleux de 2,4 mm de diamètre.
flowers 	 Fleur jaune, rotacée, de 4,5 mm de diamètre. 5 sépales subégaux, un peu charnus, ovés bossus, subaigus de 1 mm.
petals 	 Pétales orbiculaires subonguiculés de 1,8-2,3 x 2,1-2,5 mm.
disk 	 Disque subcirculaire, plan, marginé, de 1,8 mm de diamètre et 0,3 mm d'épaisseur, sans sillon périgyne.
short stamens 	 Étamines courtes, 0,7 mm, à filet très large à la base et anthère réduite, 0,3 mm de largeur, transversalement déhiscente.
style 	 Style très court, 0,3 mm.
locules 	 Loges demi-enfoncées à 4-6 ovules bisériés.
fruits 	 Fruits (d'après R. WILCZEK) obovoïdes ellipsoïdes à globuleux, de 3-7 x 3-5 cm, mamelonnés grenus à exocarpe épais.
seeds 	 Graines nombreuses.
habit 	 Liane élevée dépassant 8 m, entièrement glabre, dépourvue de caoutchouc, à bois cylindrique marqué en coupe transversale de sillons rayonnants parenchymateux de 3-10 mm de profondeur (diam. 2 cm, 15-20 sillons, Leeuwenberg 2322; diam. 3 cm, 24 sillons, Hallé 3308).
internodes 	 Entre-noeuds lisses, olivacés à sec.
leaves 	 Feuilles opposées ou subopposées à pétiole de 4-10 mm à marges du canal droites.
lamina 	 Limbe olivacé dessus ± jaune vert dessous, à base arrondie ou aiguë, à sommet acuminé, rarement sublancéolé, de 6,5-15 x (1,6)3-8,5 cm, à marges entières ou très faiblement anguleuses.
secondary veins 	 Nervures secondaires 6-8 paires arquées; nervures intersecondaires souvent subparallèles et subtransverses. 
median veins 	 Nervure médiane en léger relief arrondi dessus.
inflorescences 	 Inflorescences axillaires pluri- à multiflores à pédoncule de 2-6 mm portant un glomérule bractéolé parfois divisé en plusieurs courtes branches multibractéolées; bractées et bractéoles aiguës souvent inférieures à 1 mm. 
pedicels 	 Pédicelles floraux grêles, de 10-30 mm.
juvenile buds 	 Très jeune bouton floral présentant souvent un sépale dominant apiculé ou acuminé.
buds 	 Bouton globuleux.
flowers 	 Fleur rotacée jaune ou jaune vert de 4-4,7 mm de diamètre.
sepals 	 Sépales 5 subdeltoïdes égaux à carêne un peu charnue; les externes sont plus aigus et moins glanduleux;  les internes à sommet un peu émoussé et bords plus glanduleux. 
petals 	 Pétales 5 oblongs ou ovés, parfois un peu anguleux, à environ 7 nervures principales.
disk 	 Disque en coussinet annulaire de 1,3-1,7 mm de diamètre et 0,25 mm d'épaisseur, parfois subpen-tagonal.
furrows 	 Sillon pengyne net où s'insèrent profondément 3 étamines longues de 0,8-1,2 mm, à filet étroit même à la base, à anthère à une seule loge transversalement déhiscente, large de 0,4-0,5 mm.
pistil 	 Pistil de 0,5 mm environ à stigmate ponctiforme. 3 loges demi-enfoncées contenant chacune 2 ovules superposés (et non pas collatéraux selon LOESENER).
fruits 	 Fruit globuleux atténué en col à la base, lisse ou presque, de 2-3 cm de diamètre.
seeds 	 Graines 1-4 de 1-2 cm environ; les cotylédons sont séparés ou un peu adhérents au milieu;  radicule embryonnaire très réduite. 
secondary veins 	 Cette variété diffère de la précédente par un nombre de nervures secondaires un peu plus réduit soit 4-7 paires
pedicels 	 par le pédicelle floral souvent court de 2,5-9 mm
flowers 	 par ses fleurs souvent un peu urcéolées
fruits 	 par ses fruits globuleux petit à col basai court, plus rarement sans col; dans ces deux variétés le péricarpe reste mince. 
flowers 	 Fleurs jaune vert ou plus rarement orangées.
pedicels 	 Cette variété diffère peu de la précédente et ses pédicelles floraux ne dépassent pas 10 mm; elle se distingue essentiellement par son fruit plus gros qui atteint 2,5 cm de diamètre, à col souvent plus long, mais surtout par l'épaisseur de son péricarpe qui atteint 3-4 mm à sec. 
peduncle 	 La seule véritable particularité de cette variété est la longueur des pédoncules inflorescentiels, (4)10-65 mm, très grêles; fruit de 25 mm de diamètre, à col basai très réduit, à péricarpe très mince. 
note 	 Les particularités de cette variété sont les suivantes: port arbustif, hauteur 2-3 m;  fleur jaune, rose ou saumonée Jeunes entre-noeuds qua-drangulaires subailés;  jeunes rameaux portant souvent à la base des écailles pérulaires brunâtres persistantes;  limbe foliaire finement et plus ou moins distinctement denticulé. 
fruits 	 Les fruits sont petits, 10-20 mm de diamètre, globuleux sans col basai, à péricarpe mince.
disk 	 Cette variété est remarquable par son disque en cupule tubuleuse, aussi haut que le pistil, soit 0,6-0,9 mm pour un diamètre de 1,3 mm.
anthers 	 Seules les anthères dépassent du disque; ce dernier est parfois échancré avec 1-3 fentes oppositistémones. 
sepals 	 Les sépales sont à sommet étroitement obtus mais l'un des 5 peut être apiculé.
flower diameter 	 Le diamètre de la fleur est de 3,3-3,5 mm.
fruits 	 Le fruit n'est pas sensiblement différent de celui de la variété leonensis.
juvenile internodes 	 Les jeunes entre-noeuds sont à 4 arêtes comme dans la variété cerasiocarpa mais la plante est bien ici lianescente.
habit 	 Liane entièrement glabre, plutôt grêle, atteignant (l-)4-6 m; bois cylindrique observé sans anomalie de structure pour 1 cm de diamètre. 
latex 	 Pas de caoutchouc.
internodes 	 Entre-noeuds cylindriques ou à 4 arêtes.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole souvent très court, de 1-5 mm.
lamina 	 Limbe variable de 10-19 x 3,5-6,5 cm ou atteignant jusqu'à 23(-30) x 8(10,5) cm; base obtuse, arrondie ou un peu cordée;  sommet acuminé, 0,5-1 cm, à étroitement rostré, 1-2,8 cm;  dents marginales variables distinctes à peu distinctes;  nervures principales en relief dans un étroit sillon dessus, pâles et saillantes dessous. 
secondary veins 	 Nervures secondaires 8-15 paires formant des arceaux souvent distants de 4-6 mm de la marge; fin réseau flabellé, bien apparent à sec;  limbe concolore. 
inflorescences 	 Inflorescences ± retombantes à simple pédoncule axillaire grêle de (0,5-)2,5-9 cm de longueur, divisé au sommet en deux glomérules ou arbuscules pluriflores; petites bractées aiguës de 1-2(3) mm. 
buds 	 Bouton vert pâle un peu plus large que long, jusqu'à 3-3,5 mm de diamètre.
pedicels 	 Pédicelle floral de 10-17 mm.
sepals 	 Sépales 5 jaunâtres nettement inégaux, se réfractant à l'anthère.
petals 	 Pétales 5 jaune ocracé ou orangé pâle, ovés, de 3,5-5 x 2,2-3 mm, cambrés en selle et se présentant espacés entre eux à l'anthèse.
disk 	 Disque largement charnu, de 2,8-3 mm de diamètre, subpentagonal, brun roux, caractérisé par un petit rebord supérieur externe, 6 fossettes supérieures (empreintes des loges d'anthères) et un sillon périgyne interne où s'insèrent 3 courtes étamines.
anthers 	 Anthères arquées larges de 1,2 mm; filet de 0,6-1 mm, plutôt large. 
style 	 Style pyramidal court, jaunâtre; 3 loges enfoncées;  2 ovules superposés par loge. 
fruits 	 Fruit oblong, ± acuminé, parfois arqué, à épiderme ± verruculeux, de 3,5-6,5 x 1,5-2 cm, rouge orangé vif à maturité, observé avec 1-2 graines allongées, 33-34 x 7-9,5 mm, à cotylédons séparés, à embryon structuré.
note 	 Cette variété diffère comme suit de la précédente: liane souvent plus élevée dépassant 10-15 m;  bois atteignant 3-4 cm de diamètre, à structure normale. 
petiole 	 Pétiole variable de (1)2-10 mm; limbe variable de (3)5-18(-20) x 1,5-8 cm;  base obtuse ou arrondie ou parfois aiguë;  sommet acuminé sur 0,5-1,5 cm;  6-12 paires de nervures secondaires. 
inflorescences 	 Inflorescence à pédoncule de (0,5-)l-4(-5) cm de longueur.
first bracts 	 Les deux premières bractées, aiguës ou spatulées, de 1-4 mm.
buds 	 Bouton globuleux de 2-2,7 mm de diamètre.
pedicels 	 Pédicelle de 9-14 mm.
sepals 	 Sépales très inégaux plutôt étalés.
petals 	 Pétales étalés suborbiculaires ou subspatulés de 3-3,5 mm, vert jaune, jaunes à orangés, parfois ocracés, saumonés ou presque rouges, contigus.
disk 	 Disque d'environ 2 mm de diamètre, concolore.
anthers 	 Anthères arquées larges de 1 mm; filet 0,5 mm. 
ovules 	 Ovules 2 par loge superposés ou juxtaposés.
fruits 	 Fruit oblong, ellipsoïde ou pyriforme, aigu ou obtus, lisse ou un peu verruqueux, de 3-6,5 x 2-4 cm, contenant 2-6 graines ± comprimées mais plutôt larges.
anthers 	 anthère brisée à sommet aigu
habit 	 Arbres ou arbrisseaux non sarmenteux, entièrement glabres, sans filaments de caoutchouc, à bois cylindrique normal.
shoots 	 Rameaux juvéniles jaunâtres ou verdâtres non grêles.
leaves 	 Feuilles opposées ou subopposées.
lamina 	 Limbe elliptique, rarement oblong, de taille moyenne pour le genre, de texture non mince, vert olivacé ou olivâtre dessus à sec, dessous plus clair, plus pâle ou plus jaune.
margins 	 Marge entière ou à médiocres denticules espacés, parfois irréguliers, généralement rebordée.
inflorescences 	 Inflorescences pauci- ou pluriflores axillaires variables mais toujours pédonculées.
buds 	 Boutons globuleux; pédicelle fin. 
flowers 	 Fleurs rougeâtres, rouges, carminées, saumonées ou orangées, rotacées.
sepals 	 Sépales inégaux arrondis.
petals 	 Pétales orbiculaires subonguiculés.
disk 	 Disque en coussinet plat à l'anthèse, rouge ou orangé.
filaments 	 Filet staminaux peu élargis à la base.
anthers 	 Anthères à loges confluentes à une seule fente transversale de déhiscence.
ovary 	 Ovaire de même couleur, courtement pyramidal à stigmate ponctiforme; 2 à 4 ovules par loge d'ovaire. 
fruits 	 Fruit plus ou moins allongé, plus ou moins atténué aux extrémités, à surface chagrinée ou non, contenant peu de graines.
fruit pulp 	 Pulpe souvent ± spongieuse et peu comestible.
inflorescences 	 Inflorescences souvent courtes, rarement grêles; base du limbe arrondie, obtuse ou rarement un peu aiguë;  entre-noeuds souvent finement pustuleux, rudes au toucher, avec ou sans arêtes (mélange des formes décrites par LOESENER).. 
inflorescences 	 Inflorescences souvent grêles et ± longues; base du limbe largement arrondie à obtuse;  entre-noeuds peu ou non pustuleux, souvent lisses au toucher, à nettes arêtes ou petites ailes;  pétales souvent effrangés.. 
inflorescences 	 Inflorescentiae separatae in 2-9 ramulis ad pedunculi apicem insertis; ramulae multibracteolatae 6-12 mm longae, ad apicem pauciflorae.. 
petiole 	 Pétiole de 5-10 mm; limbe un peu denticulé;  8-12 paires de nervures secondaires;  fleurs de 12-14 mm de diamètre;  pétales d'environ 5 mm de diamètre.. 
petiole 	 Pétiole de 3-7 mm; limbe entier;  4-7 paires de nervures secondaires;  fleurs de 5-10 mm de diamètre;  pétales d'environ 3-4 mm de diamètre;  fruit court.. 
habit 	 Frutex modestus 0,30-2,5 mm altus, inflorescentiis longe pedunculatis gracilibus, cum parvo ramusculo laterali separato citra apicem; interdum cum bractea paulum foliacea;  fructus longus acuminatus extra ± verruculosus;  internodia valde alata laeviaque;  folia dare et late cordata cum petiolo perbrevi vel subsessili.. 
habit 	 Grande liane (ou arbre?) atteignant 8-15 m, entièrement glabre.
shoots 	 Rameaux gris clair à brunâtres.
leaves 	 Feuilles opposées ou subopposées.
petiole 	 Pétiole de 6-10 mm à canal en sillon étroit.
lamina 	 Limbe olivacé à sec, un peu plus pâle dessous, de 7-16(-20) x 4-8(-10) cm, elliptique, à marge entière rebordée dessous; base aiguë ou obtuse;  sommet à acumen distinct, parfois court. 
median veins 	 Nervure médiane en relief dessus.
secondary veins 	 Nervures secondaires 6-9 paires longuement courbées; fin réseau apparent peu dense et souvent subtransverse. 
inflorescences 	 Glomérules axillaires tout à fait sessiles, pluri- ou multiflores, à denses et très petites bractéoles obtuses.
pedicels 	 Pédicelles grêles de 7-20 mm.
buds 	 Boutons subglobuleux de 1,5-1,8 mm de diamètre.
flowers 	 Fleur rotacée, de (4)5(6,5) mm de diamètre, jaune à jaune rougeâtre, orange ou brune.
sepals 	 Sépales subégaux larges de 1 mm, peu distinctement microciliolés, ± obtus et courts.
petals 	 Pétales oblongs, étroits à la base, longs d'environ 3 mm, nettement microciliolés.
disk 	 Disque subpentagonal, épais, à face supérieure un peu relevée aux 5 sommets; profond sillon périgyne dans lequel sont insérées les étamines étroites, longues d'environ 1,5 mm, à anthère transversalement elliptique et dressée dans le bouton. 
ovary 	 Ovaire lagéniforme, à loges enfoncées un peu plus bas que le niveau d'insertion des étamines; 2 ovules superposés par loge. 
fruits 	 Fruit ± globuleux d'environ 3 cm de diamètre, long jusqu'à 4,5 cm, un peu atténué vers la base, à périanthe tardivement caduc.
habit 	 Arbuste glabre et dépourvu de caoutchouc, haut de 0,5-3,5 mm, dressé, parfois subsarmenteux.
internodes 	 Entre-noeuds juvéniles à deux paires de fines arêtes.
leaves 	 Feuilles opposées ou faiblement subopposées, in vivo un peu vernissées dessus, à sec subconcolores.
petiole 	 Pétiole de (3-)4-11 mm, à marges droites, à canal pincé vers la base.
lamina 	 Limbe oblong elliptique de 10-24 x 3-9 cm; base aiguë, parfois subobtuse, sommet à acumen en rostre étroit long de (1-)1,5-2,5 cm, arrondi à l'extrémité;  marges à dents régulières, souvent hautes de 1 mm et espacées de 5 mm. 
